Rank;Pos;Player;Team;Bye;Pts;Upside;ADP;VBD;Games;Pts/G;Age;Drafted;Wk 1;Wk 2;Wk 3;Wk 4;Wk 5;Wk 6;Wk 7;Wk 8;Wk 9;Wk 10;Wk 11;Wk 12;Wk 13;Wk 14;Wk 15;Wk 16;Wk 17;Notes
17;RB13;Austin Ekeler;LAC;10;178.78;204.93;20;67.23;14.90;11.04;25;u;12.84;12.52;14.02;7.55;9.10;10.96;12.34;14.29;11.86;0.00;9.45;11.25;9.43;9.34;11.86;9.45;12.52;LASTCHANCE
10;RB10;Aaron Jones;GB;5;197.27;226.72;16;85.73;15.00;12.21;25;5;11.25;14.44;10.31;10.58;0.00;8.55;13.56;11.25;8.73;16.18;11.47;13.02;10.87;14.44;15.88;13.42;13.02;LASTCHANCE
12;RB11;Kenyan Drake;ARI;8;194.62;223.33;19;83.07;14.90;12.03;26;3;8.47;14.29;13.99;15.39;12.04;12.98;12.35;0.00;13.55;12.35;12.35;10.36;11.77;12.29;10.54;8.47;11.77;LASTCHANCE
19;RB15;Leonard Fournette;JAX;7;175.90;201.54;25;64.35;14.90;10.86;25;1;9.60;11.24;11.70;12.18;11.35;12.09;0.00;11.43;11.35;11.08;8.96;12.02;9.42;11.24;8.99;10.90;9.60;
29;RB19;Melvin Gordon;DEN;8;164.22;188.06;31;52.67;14.90;10.13;27;1;10.87;8.67;6.92;10.06;8.65;11.32;11.49;0.00;8.57;10.88;11.06;8.35;11.49;12.86;10.32;11.06;10.88;
18;RB14;Todd Gurley;ATL;10;177.24;202.91;30;65.70;14.80;10.93;25;1;10.98;11.55;11.22;11.40;13.68;9.70;12.45;13.68;9.23;0.00;8.89;11.57;8.89;11.77;7.37;12.23;7.37;
35;RB24;David Montgomery;CHI;11;158.78;181.73;48;47.23;14.90;9.79;23;3;11.24;9.88;8.24;8.93;6.66;12.36;9.46;8.03;10.45;8.76;0.00;10.30;11.24;10.56;8.76;12.60;10.30;
42;RB26;Devin Singletary;BUF;11;144.86;165.50;44;33.31;14.90;8.92;22;3;9.12;10.26;8.92;9.86;9.86;10.42;9.12;7.85;9.36;9.49;0.00;10.03;6.42;7.86;7.86;7.85;10.26;
60;RB32;Kareem Hunt;CLE;9;126.14;143.84;68;14.59;14.90;7.75;24;3;6.48;8.78;8.90;8.09;6.92;6.46;8.78;8.11;0.00;8.19;6.56;9.77;8.10;6.48;7.66;7.50;6.46;
31;RB20;LeVeon Bell;NYJ;11;162.46;185.92;32;50.91;14.90;10.02;28;2;10.20;6.99;9.18;8.57;10.34;10.93;10.20;11.35;8.55;11.19;0.00;11.19;10.75;10.20;9.72;11.50;8.55;
20;RB16;Chris Carson;SEA;6;173.88;198.91;29;62.34;14.80;10.72;25;7;9.37;9.47;11.87;12.38;9.97;0.00;11.44;7.74;11.29;10.76;11.44;9.63;11.24;11.00;13.06;10.76;7.74;
26;RB18;James Conner;PIT;8;168.02;191.81;33;56.47;14.70;10.34;25;3;10.14;8.56;10.84;10.73;8.69;11.48;8.59;0.00;10.71;11.63;12.94;8.59;11.78;10.19;11.63;9.17;11.48;
21;RB17;David Johnson;HOU;8;173.18;198.30;35;61.63;14.90;10.69;28;3;11.65;8.83;8.79;9.24;13.29;11.03;10.87;0.00;13.29;11.80;8.78;11.86;9.42;10.70;9.42;11.95;11.03;
53;RB30;Derrius Guice;WAS;8;133.24;151.10;74;21.70;14.50;8.14;23;2;7.01;8.33;9.26;6.92;7.83;8.18;8.64;0.00;8.18;9.31;9.38;8.64;6.90;5.63;8.21;10.23;7.01;
71;RB35;Kerryon Johnson;DET;5;119.38;135.49;87;7.83;14.70;7.30;23;2;7.48;7.60;7.42;5.93;0.00;9.30;6.08;6.59;6.46;8.47;9.12;7.79;7.48;7.60;7.71;4.91;6.46;
70;RB34;Sony Michel;NE;6;121.46;137.82;86;9.91;14.70;7.43;25;1;8.29;7.56;7.96;8.41;6.35;0.00;5.18;7.56;7.36;6.37;8.04;7.66;8.10;7.20;8.29;7.56;7.36;INJ
